predicates,k,BASE_PRE_SEARCH_recall,BASE_POS_SEARCH_recall,ADAP_PRE_SEARCH_recall,ADAP_POS_SEARCH_recall,BASE_PRE_SEARCH_precision,BASE_POS_SEARCH_precision,ADAP_PRE_SEARCH_precision,ADAP_POS_SEARCH_precision,BASE_PRE_SEARCH_ndcg,BASE_POS_SEARCH_ndcg,ADAP_PRE_SEARCH_ndcg,ADAP_POS_SEARCH_ndcg,BASE_PRE_SEARCH_num_results,BASE_POS_SEARCH_num_results,ADAP_PRE_SEARCH_num_results,ADAP_POS_SEARCH_num_results
"[Predicate(key='token_count', value=400, operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=400, operator='>=')]",10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,10,10
"[Predicate(key='token_count', value=400, operator='>=')]",50,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.6754676276862485,0.6754676276862485,50,50,50,50
"[Predicate(key='token_count', value=400, operator='>=')]",100,1.0,1.0,0.46,0.46,1.0,1.0,0.46,0.46,1.0,1.0,0.620323728033131,0.620323728033131,100,100,100,100
"[Predicate(key='token_count', value=400, operator='>=')]",200,0.995,1.0,0.36,0.36,0.995,1.0,0.36,0.36,0.9967469682773611,1.0,0.5203398721670878,0.5203398721670878,200,200,200,200
"[Predicate(key='token_count', value=400, operator='>=')]",500,0.976,1.0,0.538,0.538,0.976,1.0,0.538,0.538,0.9837277077261811,1.0,0.6556430339332688,0.6556430339332688,500,500,500,500
"[Predicate(key='token_count', value=400, operator='>=')]",1000,0.93,1.0,0.604,0.621,0.93,1.0,0.604,0.621,0.9515074428427998,1.0,0.7087583563322482,0.7231605451972271,1000,1000,1000,1000
"[Predicate(key='token_count', value=400, operator='>=')]",2500,0.8484,1.0,0.5724,0.6004,0.8484,1.0,0.5724,0.6004,0.8896009540957273,1.0,0.6752873938622757,0.6976678794202441,2500,2500,2500,2500
"[Predicate(key='token_count', value=400, operator='>=')]",5000,0.754,1.0,0.5732,0.6022,0.754,1.0,0.5732,0.6022,0.8155165613902956,1.0,0.6722163824318483,0.6956941073560174,5000,5000,5000,5000
"[Predicate(key='token_count', value=400, operator='>=')]",6000,0.7235,1.0,0.5693333333333334,0.6123333333333333,0.7235,1.0,0.5693333333333334,0.6123333333333333,0.791411570269954,1.0,0.6695519261583891,0.7044458628520298,6000,6000,6000,6000
"[Predicate(key='token_count', value=400, operator='>=')]",7000,0.693,1.0,0.5775714285714286,0.6071428571428571,0.693,1.0,0.5775714285714286,0.6071428571428571,0.7676760760292036,1.0,0.6759870756008514,0.7001083271783988,7000,7000,7000,7000
"[Predicate(key='token_count', value=400, operator='>=')]",10000,0.6218,1.0,0.6038,0.6534,0.6218,1.0,0.6038,0.6534,0.7114501613646343,1.0,0.6968291165777558,0.7368557414598841,10000,10000,10000,10000
"[Predicate(key='token_count', value=350, operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='token_count', value=350, operator='>=')]",10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,10,10
"[Predicate(key='token_count', value=350, operator='>=')]",50,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.6746038021263724,0.6746038021263724,50,50,50,50
"[Predicate(key='token_count', value=350, operator='>=')]",100,1.0,1.0,0.45,0.45,1.0,1.0,0.45,0.45,1.0,1.0,0.6122553618064107,0.6122553618064107,100,100,100,100
"[Predicate(key='token_count', value=350, operator='>=')]",200,0.995,1.0,0.365,0.365,0.995,1.0,0.365,0.365,0.996758859816653,1.0,0.5232553240911922,0.5232553240911922,200,200,200,200
"[Predicate(key='token_count', value=350, operator='>=')]",500,0.978,1.0,0.45,0.548,0.978,1.0,0.45,0.548,0.9850579089737649,1.0,0.5819805440688397,0.6633897366383341,500,500,500,500
"[Predicate(key='token_count', value=350, operator='>=')]",1000,0.933,1.0,0.529,0.619,0.933,1.0,0.529,0.619,0.9536497511700581,1.0,0.6450156727615345,0.7199665131170149,1000,1000,1000,1000
"[Predicate(key='token_count', value=350, operator='>=')]",2500,0.8516,1.0,0.564,0.5916,0.8516,1.0,0.564,0.5916,0.8920188398858161,1.0,0.6676168811775582,0.690458959847541,2500,2500,2500,2500
"[Predicate(key='token_count', value=350, operator='>=')]",5000,0.7568,1.0,0.57,0.596,0.7568,1.0,0.57,0.596,0.8177703081966624,1.0,0.6695707783471717,0.6910087905565239,5000,5000,5000,5000
"[Predicate(key='token_count', value=350, operator='>=')]",6000,0.7256666666666667,1.0,0.5583333333333333,0.5965,0.7256666666666667,1.0,0.5583333333333333,0.5965,0.7932485673298065,1.0,0.6598807776587067,0.6924279300013139,6000,6000,6000,6000
"[Predicate(key='token_count', value=350, operator='>=')]",7000,0.6957142857142857,1.0,0.5672857142857143,0.5992857142857143,0.6957142857142857,1.0,0.5672857142857143,0.5992857142857143,0.769867575513421,1.0,0.6680228384021306,0.69391250827242,7000,7000,7000,7000
"[Predicate(key='token_count', value=350, operator='>=')]",10000,0.6261,1.0,0.5935,0.637,0.6261,1.0,0.5935,0.637,0.7146285027042953,1.0,0.6885358546310006,0.7234319382003231,10000,10000,10000,10000
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",5,1.0,1.0,0.4,0.6,1.0,1.0,0.4,0.6,1.0,1.0,0.578139548111259,0.7470777348429374,5,5,5,5
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",10,1.0,1.0,0.6,0.9,1.0,1.0,0.6,0.9,1.0,1.0,0.7282457700741826,0.9364030803467167,10,10,10,10
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",50,0.98,1.0,0.62,0.92,0.98,1.0,0.62,0.92,0.9886908626896777,1.0,0.7439113821088944,0.9534553072270284,50,50,50,50
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",100,0.95,1.0,0.55,0.94,0.95,1.0,0.55,0.94,0.9704631401252879,1.0,0.6960294281679681,0.9647756471027825,100,100,100,100
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",200,0.9,1.0,0.565,0.975,0.9,1.0,0.565,0.975,0.9350386266729667,1.0,0.7084881157534385,0.9843399636789211,200,200,200,200
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",500,0.782,1.0,0.542,0.994,0.782,1.0,0.542,0.994,0.8521405292724595,1.0,0.6755292964535745,0.9964890988744749,500,500,500,500
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",1000,0.652,1.0,0.548,1.0,0.652,1.0,0.548,1.0,0.7535556746602339,1.0,0.6743236949612769,1.0,1000,1000,1000,1000
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",2500,0.8852,1.0,0.7396,1.0,0.8852,1.0,0.7396,1.0,0.9244508482576873,1.0,0.8233579826798415,1.0,2500,2500,2500,2500
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",5000,0.76,1.0,0.8648,1.0,0.76,1.0,0.8648,1.0,0.8597930780646819,1.0,0.9261257612501947,1.0,5000,5000,5000,5000
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",6000,0.7196666666666667,1.0,0.9085,1.0,0.7196666666666667,1.0,0.9085,1.0,0.8447217833607907,1.0,0.9553235960530512,1.0,6000,6000,6000,6000
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",7000,1.0,1.0,0.9424285714285714,1.0,1.0,1.0,0.9424285714285714,1.0,1.0,1.0,0.9761365691751487,1.0,7000,7000,7000,7000
"[Predicate(key='revdate', value='2025-02-19 19:08:15', operator='>=')]",10000,1.0,1.0,0.9997,1.0,1.0,1.0,0.9997,1.0,1.0,1.0,1.0000846762333142,1.0,10000,10000,10000,10000
"[Predicate(key='revdate', value='2025-02-19 12:33:47', operator='>=')]",5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5,5,5
"[Predicate(key='revdate', value='2025-02-19 12:33:47', operator='>=')]",10,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9462204193978832,0.9462204193978832,10,10,10,10
"[Predicate(key='revdate', value='2025-02-19 12:33:47', operator='>=')]",50,1.0,1.0,0.56,0.94,1.0,1.0,0.56,0.94,1.0,1.0,0.7123500544023168,0.964102982174429,50,50,50,50
"[Predicate(key='revdate', value='2025-02-19 12:33:47', operator='>=')]",100,0.98,1.0,0.64,0.91,0.98,1.0,0.64,0.91,0.9889535678154834,1.0,0.7655707511882446,0.949006218878547,100,100,100,100
"[Predicate(key='revdate', value='2025-02-19 12:33:47', operator='>=')]",200,0.955,1.0,0.535,0.86,0.955,1.0,0.535,0.86,0.9728428647218288,1.0,0.6847224250419842,0.9122752755848407,200,200,200,200
"[Predicate(key='revdate', value='2025-02-19 12:33:47', operator='>=')]",500,0.888,1.0,0.526,0.866,0.888,1.0,0.526,0.866,0.9244368574685383,1.0,0.6679363704635226,0.9099348111308158,500,500,500,500
"[Predicate(key='revdate', value='2025-02-19 12:33:47', operator='>=')]",1000,0.797,1.0,0.555,0.909,0.797,1.0,0.555,0.909,0.8581177608212714,1.0,0.676310886964964,0.9391270112028469,1000,1000,1000,1000
"[Predicate(key='revdate', value='2025-02-19 12:33:47', operator='>=')]",2500,0.6408,1.0,0.5964,0.9852,0.6408,1.0,0.5964,0.9852,0.7372950805256319,1.0,0.7031752363318582,0.990156666504999,2500,2500,2500,2500
"[Predicate(key='revdate', value='2025-02-19 12:33:47', operator='>=')]",5000,0.9038,1.0,0.763,1.0,0.9038,1.0,0.763,1.0,0.9344297896906831,1.0,0.8319316130480369,1.0,5000,5000,5000,5000
"[Predicate(key='revdate', value='2025-02-19 12:33:47', operator='>=')]",6000,0.8843333333333333,1.0,0.768,1.0,0.8843333333333333,1.0,0.768,1.0,0.9223913056118052,1.0,0.8402207372491222,1.0,6000,6000,6000,6000
"[Predicate(key='revdate', value='2025-02-19 12:33:47', operator='>=')]",7000,0.8608571428571429,1.0,0.8057142857142857,1.0,0.8608571428571429,1.0,0.8057142857142857,1.0,0.9089946201815032,1.0,0.8713337634294451,1.0,7000,7000,7000,7000
